country,year,age_group,mfpr
dza,1997,30_34,54.807780
dza,1997,35_39,52.423310
dza,1997,40_44,54.438330
dza,1997,45_49,50.872910
dza,1997,50_54,48.764850
dza,1997,55_59,42.229400
dza,1997,60_64,22.904860
dza,1997,65,5.873841
dza,1997,total_15,44.456060
dza,1998,15_19,29.779570
dza,1998,20_24,49.285500
dza,1998,25_29,56.555780
dza,1998,30_34,55.018210
dza,1998,35_39,52.642800
dza,1998,40_44,54.528270
dza,1998,45_49,51.549920
dza,1998,50_54,48.478400
dza,1998,55_59,42.260750
dza,1998,60_64,22.266080
dza,1998,65,5.773069
dza,1998,total_15,44.217250
dza,1999,15_19,29.265890
dza,1999,20_24,47.898410
dza,1999,25_29,56.583980
dza,1999,30_34,55.241340
dza,1999,35_39,52.883330
dza,1999,40_44,54.600170
dza,1999,45_49,52.095920
dza,1999,50_54,48.392700
dza,1999,55_59,42.397650
dza,1999,60_64,21.684170
dza,1999,65,5.666370
dza,1999,total_15,44.006660
dza,2000,15_19,28.760690
dza,2000,20_24,46.476500
dza,2000,25_29,56.611130
dza,2000,30_34,55.477230
dza,2000,35_39,53.146150
dza,2000,40_44,54.685950
dza,2000,45_49,52.464200
dza,2000,50_54,48.572810
dza,2000,55_59,42.496820
dza,2000,60_64,21.189190
dza,2000,65,5.552547
dza,2000,total_15,43.828830
dza,2001,15_19,28.259430
dza,2001,20_24,45.021300
dza,2001,25_29,56.643420
dza,2001,30_34,55.729610
dza,2001,35_39,53.443310
dza,2001,40_44,54.780250
dza,2001,45_49,52.701800
dza,2001,50_54,48.932400
dza,2001,55_59,42.438300
