country,year,age_group,mpr
alb,2019,60_64,50.8278
alb,2019,65,27.95
alb,2019,total_15,70.6924
alb,2020,15_19,37
alb,2020,20_24,69
alb,2020,25_29,81.3
alb,2020,30_34,89.5
alb,2020,35_39,90.8
alb,2020,40_44,93.1
alb,2020,45_49,94.5
alb,2020,50_54,90
alb,2020,55_59,78
alb,2020,60_64,51
alb,2020,65,28
alb,2020,total_15,70.5945
dza,1985,15_19,34.1
dza,1985,20_24,59.1
dza,1985,25_29,91.6
dza,1985,30_34,96.7
dza,1985,35_39,98
dza,1985,40_44,97.5
dza,1985,45_49,96.4
dza,1985,50_54,92.6
dza,1985,55_59,81.1
dza,1985,60_64,60.2
dza,1985,65,26.6
dza,1986,15_19,35.5001
dza,1986,20_24,61.5827
dza,1986,25_29,91.7585
dza,1986,30_34,96.7187
dza,1986,35_39,97.8949
dza,1986,40_44,97.4505
dza,1986,45_49,96.3041
dza,1986,50_54,92.4661
dza,1986,55_59,81.0019
dza,1986,60_64,58.7997
dza,1986,65,24.9748
dza,1987,15_19,36.9255
dza,1987,20_24,64.0064
dza,1987,25_29,91.9144
dza,1987,30_34,96.7373
dza,1987,35_39,97.7845
dza,1987,40_44,97.4
dza,1987,45_49,96.2057
dza,1987,50_54,92.33
dza,1987,55_59,80.9035
dza,1987,60_64,57.385
dza,1987,65,23.4173
dza,1988,15_19,38.374
dza,1988,20_24,66.3608
dza,1988,25_29,92.0675
dza,1988,30_34,96.7557
dza,1988,35_39,97.6683
dza,1988,40_44,97.3486
dza,1988,45_49,96.1048
dza,1988,50_54,92.1916
dza,1988,55_59,80.8047
dza,1988,60_64,55.9581
dza,1988,65,21.9285
dza,1989,15_19,39.8435
dza,1989,20_24,68.6367
dza,1989,25_29,92.218
dza,1989,30_34,96.7741
dza,1989,35_39,97.5463
dza,1989,40_44,97.2962
dza,1989,45_49,96.0014
dza,1989,50_54,92.051
dza,1989,55_59,80.7055
dza,1989,60_64,54.5213
dza,1989,65,20.509
dza,1990,15_19,41.3315
dza,1990,20_24,70.8262
dza,1990,25_29,92.3658
dza,1990,30_34,96.7924
dza,1990,35_39,97.418
dza,1990,40_44,97.2428
dza,1990,45_49,95.8953
dza,1990,50_54,91.908
dza,1990,55_59,80.6059
dza,1990,60_64,53.0769
dza,1990,65,19.1589
dza,1990,total_15,74.1669
dza,1991,15_19,42.8355
dza,1991,20_24,72.9232
dza,1991,25_29,92.5111
dza,1991,30_34,96.8106
dza,1991,35_39,97.2832
dza,1991,40_44,97.1883
dza,1991,45_49,95.7865
dza,1991,50_54,91.7627
dza,1991,55_59,80.5058
dza,1991,60_64,51.6273
dza,1991,65,17.8776
dza,1991,total_15,74.8042
dza,1992,15_19,44.3529
dza,1992,20_24,74.9228
dza,1992,25_29,92.6538
dza,1992,30_34,96.8287
dza,1992,35_39,97.1415
dza,1992,40_44,97.1328
dza,1992,45_49,95.6749
dza,1992,50_54,91.615
dza,1992,55_59,80.4055
dza,1992,60_64,50.175
dza,1992,65,16.6644
dza,1992,total_15,75.4182
dza,1993,15_19,45.8809
dza,1993,20_24,76.8217
dza,1993,25_29,92.794
dza,1993,30_34,96.8466
dza,1993,35_39,96.9927
dza,1993,40_44,97.0763
dza,1993,45_49,95.5606
dza,1993,50_54,91.4649
dza,1993,55_59,80.3047
dza,1993,60_64,48.7224
dza,1993,65,15.518
dza,1993,total_15,76.0044
dza,1994,15_19,47.4167
dza,1994,20_24,78.6179
dza,1994,25_29,92.9318
dza,1994,30_34,96.8645
dza,1994,35_39,96.8365
dza,1994,40_44,97.0186
dza,1994,45_49,95.4434
dza,1994,50_54,91.3124
dza,1994,55_59,80.2035
dza,1994,60_64,47.272
dza,1994,65,14.4367
dza,1994,total_15,76.5598
dza,1995,15_19,48.9573
dza,1995,20_24,80.3105
dza,1995,25_29,93.0671
dza,1995,30_34,96.8823
dza,1995,35_39,96.6723
dza,1995,40_44,96.9599
dza,1995,45_49,95.3232
dza,1995,50_54,91.1575
dza,1995,55_59,80.102
dza,1995,60_64,45.8261
dza,1995,65,13.4188
dza,1995,total_15,77.0865
dza,1996,15_19,50.5
dza,1996,20_24,81.9
dza,1996,25_29,93.2
dza,1996,30_34,96.9
dza,1996,35_39,96.5
dza,1996,40_44,96.9
dza,1996,45_49,95.2
dza,1996,50_54,91
dza,1996,55_59,80
dza,1996,60_64,44.3873
dza,1996,65,12.4623
dza,1996,total_15,77.5803
dza,1997,15_19,49.8566
dza,1997,20_24,80.2757
dza,1997,25_29,92.9259
dza,1997,30_34,96.6101
dza,1997,35_39,96.3057
dza,1997,40_44,96.6844
dza,1997,45_49,94.9954
dza,1997,50_54,90.879
dza,1997,55_59,80.0904
dza,1997,60_64,43.3956
dza,1997,65,12.19
dza,1997,total_15,77.0742
dza,1998,15_19,49.2133
dza,1998,20_24,78.5439
dza,1998,25_29,92.6416
dza,1998,30_34,96.294
dza,1998,35_39,96.101
dza,1998,40_44,96.4544
dza,1998,45_49,94.7826
dza,1998,50_54,90.7566
dza,1998,55_59,79.4189
dza,1998,60_64,42.4093
dza,1998,65,11.9229
dza,1998,total_15,76.5336
dza,1999,15_19,48.5702
dza,1999,20_24,76.7041
dza,1999,25_29,92.3469
dza,1999,30_34,95.9498
dza,1999,35_39,95.8855
dza,1999,40_44,96.209
dza,1999,45_49,94.5612
dza,1999,50_54,90.6327
dza,1999,55_59,79.0819
dza,1999,60_64,41.4289
dza,1999,65,11.6608
dza,1999,total_15,76.0201
dza,2000,15_19,47.9276
dza,2000,20_24,74.7573
dza,2000,25_29,92.0413
dza,2000,30_34,95.575
dza,2000,35_39,95.6587
dza,2000,40_44,95.9473
dza,2000,45_49,94.331
dza,2000,50_54,90.5074
dza,2000,55_59,78.9356
dza,2000,60_64,40.4553
dza,2000,65,11.4038
dza,2000,total_15,75.5385
dza,2001,15_19,47.2856
dza,2001,20_24,72.7057
dza,2001,25_29,91.7247
dza,2001,30_34,95.1674
dza,2001,35_39,95.4199
dza,2001,40_44,95.6685
dza,2001,45_49,94.0917
dza,2001,50_54,90.3805
dza,2001,55_59,78.7154
dza,2001,60_64,39.4892
dza,2001,65,11.1517
dza,2001,total_15,75.0707
dza,2002,15_19,46.6446
dza,2002,20_24,70.553
dza,2002,25_29,91.3966
dza,2002,30_34,94.7242
dza,2002,35_39,95.1686
dza,2002,40_44,95.3713
dza,2002,45_49,93.8429
dza,2002,50_54,90.2521
dza,2002,55_59,78.0855
dza,2002,60_64,38.5312
