country,year,age_group,flf
alb,1992,60_64,9.840989
alb,1992,65,12.350840
alb,1992,total_15,580.106500
alb,1993,15_19,68.704210
alb,1993,20_24,81.266020
alb,1993,25_29,87.765720
alb,1993,30_34,84.471050
alb,1993,35_39,73.646610
alb,1993,40_44,57.092480
alb,1993,45_49,46.087420
alb,1993,50_54,37.836080
alb,1993,55_59,15.051230
alb,1993,60_64,9.890548
alb,1993,65,11.799180
alb,1993,total_15,573.610600
alb,1994,15_19,67.337450
alb,1994,20_24,77.697110
alb,1994,25_29,84.099120
alb,1994,30_34,83.706630
alb,1994,35_39,74.947490
alb,1994,40_44,58.837260
alb,1994,45_49,44.545630
alb,1994,50_54,38.289910
alb,1994,55_59,14.908410
alb,1994,60_64,9.981542
alb,1994,65,11.357930
alb,1994,total_15,565.708500
alb,1995,15_19,65.527430
alb,1995,20_24,74.048030
alb,1995,25_29,80.758160
alb,1995,30_34,82.194910
alb,1995,35_39,75.793050
alb,1995,40_44,60.346300
alb,1995,45_49,43.860160
alb,1995,50_54,38.253660
alb,1995,55_59,14.982330
alb,1995,60_64,10.094920
alb,1995,65,10.716790
alb,1995,total_15,556.575700
alb,1996,15_19,62.679830
alb,1996,20_24,71.114560
alb,1996,25_29,79.568980
alb,1996,30_34,79.942870
alb,1996,35_39,77.893690
alb,1996,40_44,63.319870
alb,1996,45_49,44.648010
alb,1996,50_54,37.580040
alb,1996,55_59,15.453180
alb,1996,60_64,10.319750
alb,1996,65,10.257250
alb,1996,total_15,552.778000
alb,1997,15_19,63.293850
alb,1997,20_24,70.153750
alb,1997,25_29,78.078540
alb,1997,30_34,77.939320
alb,1997,35_39,78.682850
alb,1997,40_44,67.146620
alb,1997,45_49,46.725500
alb,1997,50_54,36.605800
alb,1997,55_59,15.905750
alb,1997,60_64,10.517060
alb,1997,65,10.979720
alb,1997,total_15,556.028700
alb,1998,15_19,62.760290
alb,1998,20_24,66.512440
alb,1998,25_29,76.169900
alb,1998,30_34,77.280180
alb,1998,35_39,77.617390
alb,1998,40_44,70.895540
alb,1998,45_49,48.989540
alb,1998,50_54,35.937230
alb,1998,55_59,16.394520
alb,1998,60_64,10.759500
alb,1998,65,10.447270
alb,1998,total_15,553.763800
alb,1999,15_19,63.316780
alb,1999,20_24,63.407210
alb,1999,25_29,73.608620
alb,1999,30_34,77.441990
alb,1999,35_39,75.403390
alb,1999,40_44,74.427800
alb,1999,45_49,51.770730
alb,1999,50_54,36.113790
alb,1999,55_59,16.871660
alb,1999,60_64,11.079840
alb,1999,65,10.155010
alb,1999,total_15,553.596800
alb,2000,15_19,64.413170
alb,2000,20_24,61.673030
alb,2000,25_29,70.711180
alb,2000,30_34,77.565190
alb,2000,35_39,73.318850
alb,2000,40_44,76.885560
alb,2000,45_49,55.032270
alb,2000,50_54,37.225030
alb,2000,55_59,17.225850
alb,2000,60_64,11.462080
alb,2000,65,10.062590
alb,2000,total_15,555.574800
alb,2001,15_19,63.708320
alb,2001,20_24,62.721520
alb,2001,25_29,68.891810
alb,2001,30_34,76.660420
alb,2001,35_39,73.555360
alb,2001,40_44,76.877370
alb,2001,45_49,57.937760
alb,2001,50_54,38.218520
alb,2001,55_59,17.495950
alb,2001,60_64,11.719930
alb,2001,65,10.004570
alb,2001,total_15,557.791500
alb,2002,15_19,63.423630
alb,2002,20_24,65.638480
alb,2002,25_29,67.434310
alb,2002,30_34,75.048130
alb,2002,35_39,75.381080
alb,2002,40_44,75.726130
alb,2002,45_49,61.507370
alb,2002,50_54,39.768610
alb,2002,55_59,17.521690
alb,2002,60_64,12.015910
alb,2002,65,10.169750
alb,2002,total_15,563.635100
alb,2003,15_19,62.663200
alb,2003,20_24,69.343300
alb,2003,25_29,66.626370
alb,2003,30_34,72.945690
alb,2003,35_39,78.137310
alb,2003,40_44,73.971870
alb,2003,45_49,65.255500
alb,2003,50_54,42.003130
alb,2003,55_59,17.802880
alb,2003,60_64,12.437260
alb,2003,65,10.561850
alb,2003,total_15,571.748400
alb,2004,15_19,61.691570
alb,2004,20_24,72.693160
alb,2004,25_29,66.764300
alb,2004,30_34,70.681740
alb,2004,35_39,80.392880
alb,2004,40_44,72.601530
alb,2004,45_49,68.206280
alb,2004,50_54,44.686940
alb,2004,55_59,18.253210
alb,2004,60_64,12.793220
alb,2004,65,10.969180
alb,2004,total_15,579.734000
alb,2005,15_19,60.680110
alb,2005,20_24,74.998680
alb,2005,25_29,68.115460
alb,2005,30_34,68.623410
alb,2005,35_39,81.233470
alb,2005,40_44,72.360080
alb,2005,45_49,69.834470
alb,2005,50_54,47.628840
alb,2005,55_59,18.999690
alb,2005,60_64,13.029160
alb,2005,65,11.382380
alb,2005,total_15,586.885700
alb,2006,15_19,59.809600
alb,2006,20_24,76.868930
alb,2006,25_29,72.193290
alb,2006,30_34,67.773980
alb,2006,35_39,79.634270
alb,2006,40_44,73.834150
alb,2006,45_49,70.618000
alb,2006,50_54,49.878880
alb,2006,55_59,19.968440
alb,2006,60_64,13.350690
alb,2006,65,11.836240
alb,2006,total_15,595.766500
alb,2007,15_19,58.314700
alb,2007,20_24,77.771130
alb,2007,25_29,77.318900
alb,2007,30_34,67.327100
alb,2007,35_39,77.341060
alb,2007,40_44,75.530590
alb,2007,45_49,70.319630
alb,2007,50_54,52.766010
alb,2007,55_59,20.938110
alb,2007,60_64,13.525280
alb,2007,65,12.321870
alb,2007,total_15,603.474400
alb,2008,15_19,56.188940
alb,2008,20_24,78.053860
alb,2008,25_29,82.649510
alb,2008,30_34,67.444120
alb,2008,35_39,75.303210
alb,2008,40_44,76.524380
alb,2008,45_49,69.478070
alb,2008,50_54,56.130870
alb,2008,55_59,21.880460
alb,2008,60_64,13.613550
alb,2008,65,12.824820
alb,2008,total_15,610.091800
alb,2009,15_19,53.717720
alb,2009,20_24,77.970660
alb,2009,25_29,87.241330
alb,2009,30_34,68.567260
alb,2009,35_39,74.138250
alb,2009,40_44,76.224580
alb,2009,45_49,68.902870
alb,2009,50_54,59.350470
alb,2009,55_59,22.921870
alb,2009,60_64,13.719050
alb,2009,65,13.330360
alb,2009,total_15,616.084400
alb,2010,15_19,51.276420
alb,2010,20_24,77.435940
alb,2010,25_29,90.731030
alb,2010,30_34,70.927490
alb,2010,35_39,73.826070
alb,2010,40_44,74.938790
alb,2010,45_49,68.848340
alb,2010,50_54,61.867450
alb,2010,55_59,24.285930
alb,2010,60_64,13.890940
alb,2010,65,13.833950
alb,2010,total_15,621.862300
alb,2011,15_19,49.613020
alb,2011,20_24,75.896150
alb,2011,25_29,93.385470
alb,2011,30_34,73.635140
alb,2011,35_39,73.381850
alb,2011,40_44,74.932470
alb,2011,45_49,68.608250
alb,2011,50_54,63.389930
alb,2011,55_59,26.790280
alb,2011,60_64,14.230940
alb,2011,65,14.308300
alb,2011,total_15,628.171800
alb,2012,15_19,48.325310
alb,2012,20_24,73.641400
alb,2012,25_29,95.247430
alb,2012,30_34,77.465260
alb,2012,35_39,72.635330
alb,2012,40_44,74.915440
alb,2012,45_49,68.726990
alb,2012,50_54,63.549530
alb,2012,55_59,29.889780
alb,2012,60_64,14.694070
alb,2012,65,14.761590
alb,2012,total_15,633.852100
alb,2013,15_19,47.278150
alb,2013,20_24,71.046260
alb,2013,25_29,96.291380
alb,2013,30_34,81.896080
alb,2013,35_39,72.069240
alb,2013,40_44,74.851940
alb,2013,45_49,69.098690
alb,2013,50_54,62.826610
alb,2013,55_59,33.235110
alb,2013,60_64,15.358330
alb,2013,65,15.219470
alb,2013,total_15,639.171300
alb,2014,15_19,46.209350
alb,2014,20_24,68.630420
alb,2014,25_29,96.535050
alb,2014,30_34,86.068460
alb,2014,35_39,72.401060
alb,2014,40_44,74.657650
alb,2014,45_49,69.459080
alb,2014,50_54,62.026680
alb,2014,55_59,36.233720
alb,2014,60_64,16.336340
alb,2014,65,15.707660
alb,2014,total_15,644.265500
alb,2015,15_19,44.943010
alb,2015,20_24,66.704370
alb,2015,25_29,96.015610
alb,2015,30_34,89.398080
alb,2015,35_39,74.021120
alb,2015,40_44,74.293950
alb,2015,45_49,69.634030
alb,2015,50_54,61.654130
alb,2015,55_59,38.483100
alb,2015,60_64,17.679830
alb,2015,65,16.237480
alb,2015,total_15,649.064700
alb,2016,15_19,43.348480
alb,2016,20_24,65.066210
alb,2016,25_29,94.679740
alb,2016,30_34,92.018700
alb,2016,35_39,76.865210
alb,2016,40_44,73.756490
alb,2016,45_49,69.695660
alb,2016,50_54,61.544610
alb,2016,55_59,39.931390
alb,2016,60_64,19.327800
alb,2016,65,16.712950
alb,2016,total_15,652.947300
alb,2017,15_19,41.671680
alb,2017,20_24,63.937980
alb,2017,25_29,92.453190
alb,2017,30_34,93.919890
alb,2017,35_39,80.989190
alb,2017,40_44,72.986630
alb,2017,45_49,69.813330
alb,2017,50_54,61.818240
alb,2017,55_59,40.572170
alb,2017,60_64,21.405390
alb,2017,65,17.231820
alb,2017,total_15,656.799500
alb,2018,15_19,39.935490
alb,2018,20_24,63.089670
alb,2018,25_29,89.710400
alb,2018,30_34,95.006160
alb,2018,35_39,85.776400
alb,2018,40_44,72.417530
alb,2018,45_49,69.902540
alb,2018,50_54,62.327910
alb,2018,55_59,40.652400
alb,2018,60_64,23.639100
alb,2018,65,17.819830
alb,2018,total_15,660.277400
alb,2019,15_19,38.175390
alb,2019,20_24,62.132880
alb,2019,25_29,87.064220
alb,2019,30_34,95.223660
alb,2019,35_39,90.249830
alb,2019,40_44,72.734160
alb,2019,45_49,69.833510
alb,2019,50_54,62.797020
alb,2019,55_59,40.651820
alb,2019,60_64,25.587250
alb,2019,65,18.522360
alb,2019,total_15,662.972100
alb,2020,15_19,36.421760
alb,2020,20_24,60.846240
alb,2020,25_29,84.930950
alb,2020,30_34,94.582660
alb,2020,35_39,93.762200
alb,2020,40_44,74.329970
alb,2020,45_49,69.566720
alb,2020,50_54,63.062060
alb,2020,55_59,40.897500
alb,2020,60_64,26.968680
alb,2020,65,19.372950
alb,2020,total_15,664.741700
dza,1985,15_19,38.114310
dza,1985,20_24,142.371800
dza,1985,25_29,114.676300
dza,1985,30_34,66.581220
dza,1985,35_39,41.137070
dza,1985,40_44,31.790980
dza,1985,45_49,29.681180
dza,1985,50_54,25.578030
dza,1985,55_59,19.857200
dza,1985,60_64,7.663346
dza,1985,65,10.728260
dza,1986,15_19,43.672480
dza,1986,20_24,153.372200
dza,1986,25_29,122.433500
dza,1986,30_34,69.377080
dza,1986,35_39,42.666270
dza,1986,40_44,33.251770
dza,1986,45_49,29.662080
dza,1986,50_54,27.028700
dza,1986,55_59,20.707720
dza,1986,60_64,7.878977
dza,1986,65,9.721750
dza,1987,15_19,50.022460
dza,1987,20_24,164.580000
dza,1987,25_29,131.748500
dza,1987,30_34,71.721740
dza,1987,35_39,44.404100
dza,1987,40_44,35.324690
dza,1987,45_49,29.413270
dza,1987,50_54,28.518740
dza,1987,55_59,21.655970
dza,1987,60_64,8.148163
dza,1987,65,8.805970
dza,1988,15_19,57.286270
dza,1988,20_24,176.015700
dza,1988,25_29,142.149100
dza,1988,30_34,73.955750
dza,1988,35_39,46.127250
dza,1988,40_44,37.941540
dza,1988,45_49,29.136240
dza,1988,50_54,29.965580
dza,1988,55_59,22.642760
dza,1988,60_64,8.465491
dza,1988,65,7.977707
dza,1989,15_19,65.614080
dza,1989,20_24,187.817700
dza,1989,25_29,152.753500
dza,1989,30_34,76.653610
dza,1989,35_39,47.533900
dza,1989,40_44,40.952280
dza,1989,45_49,29.151370
dza,1989,50_54,31.234430
dza,1989,55_59,23.583860
dza,1989,60_64,8.825683
dza,1989,65,7.232358
dza,1990,15_19,75.187150
dza,1990,20_24,200.150700
dza,1990,25_29,162.978100
dza,1990,30_34,80.181430
dza,1990,35_39,48.480640
dza,1990,40_44,44.250800
dza,1990,45_49,29.671390
dza,1990,50_54,32.251220
dza,1990,55_59,24.427390
dza,1990,60_64,9.224690
dza,1990,65,6.563412
dza,1990,total_15,713.366900
dza,1991,15_19,86.305290
dza,1991,20_24,213.468000
dza,1991,25_29,173.308600
dza,1991,30_34,84.636420
dza,1991,35_39,49.100220
dza,1991,40_44,47.979220
dza,1991,45_49,30.701980
dza,1991,50_54,33.009580
dza,1991,55_59,25.162920
dza,1991,60_64,9.635157
dza,1991,65,5.980334
dza,1991,total_15,759.287700
dza,1992,15_19,98.935850
dza,1992,20_24,227.126800
dza,1992,25_29,183.228800
dza,1992,30_34,89.871990
dza,1992,35_39,49.231970
dza,1992,40_44,52.096330
dza,1992,45_49,32.207290
dza,1992,50_54,33.458630
dza,1992,55_59,25.836890
dza,1992,60_64,10.075630
dza,1992,65,5.446306
dza,1992,total_15,807.516500
dza,1993,15_19,113.334900
dza,1993,20_24,241.376400
dza,1993,25_29,192.902400
dza,1993,30_34,95.598430
dza,1993,35_39,49.183140
dza,1993,40_44,56.400210
dza,1993,45_49,34.131150
dza,1993,50_54,33.852670
dza,1993,55_59,26.394950
dza,1993,60_64,10.524830
dza,1993,65,4.962071
dza,1993,total_15,858.661100
dza,1994,15_19,129.874800
dza,1994,20_24,256.678000
dza,1994,25_29,202.736300
dza,1994,30_34,101.330300
dza,1994,35_39,49.405730
dza,1994,40_44,60.588160
dza,1994,45_49,36.367890
dza,1994,50_54,34.621500
dza,1994,55_59,26.760290
dza,1994,60_64,10.957270
dza,1994,65,4.529548
dza,1994,total_15,913.849800
dza,1995,15_19,148.890200
dza,1995,20_24,273.359600
dza,1995,25_29,212.999100
dza,1995,30_34,106.740900
dza,1995,35_39,50.130100
dza,1995,40_44,64.470480
dza,1995,45_49,38.832510
dza,1995,50_54,36.063270
dza,1995,55_59,26.900280
dza,1995,60_64,11.355160
dza,1995,65,4.145510
dza,1995,total_15,973.887100
dza,1996,15_19,170.251000
dza,1996,20_24,290.871400
dza,1996,25_29,223.266800
dza,1996,30_34,111.697600
dza,1996,35_39,51.169680
dza,1996,40_44,67.916750
dza,1996,45_49,41.456930
dza,1996,50_54,38.037480
dza,1996,55_59,26.715750
dza,1996,60_64,11.657950
dza,1996,65,3.798943
dza,1996,total_15,1036.840000
dza,1997,15_19,168.891600
dza,1997,20_24,285.348300
dza,1997,25_29,233.682000
dza,1997,30_34,123.604600
dza,1997,35_39,59.221740
dza,1997,40_44,72.708470
dza,1997,45_49,46.019400
dza,1997,50_54,39.870770
dza,1997,55_59,27.397100
dza,1997,60_64,12.209700
dza,1997,65,3.981836
dza,1997,total_15,1072.935000
dza,1998,15_19,167.327800
dza,1998,20_24,280.096800
dza,1998,25_29,244.654700
dza,1998,30_34,136.323400
dza,1998,35_39,68.702580
dza,1998,40_44,77.639790
dza,1998,45_49,51.004950
dza,1998,50_54,42.279660
dza,1998,55_59,28.168090
dza,1998,60_64,12.743690
dza,1998,65,4.178061
dza,1998,total_15,1113.120000
dza,1999,15_19,164.807300
dza,1999,20_24,274.964000
dza,1999,25_29,256.204000
dza,1999,30_34,149.942200
dza,1999,35_39,79.320630
dza,1999,40_44,83.306790
dza,1999,45_49,56.065480
dza,1999,50_54,45.067410
dza,1999,55_59,29.245940
dza,1999,60_64,13.194090
dza,1999,65,4.382205
dza,1999,total_15,1156.500000
dza,2000,15_19,161.002400
dza,2000,20_24,269.843900
dza,2000,25_29,268.380200
dza,2000,30_34,164.565100
dza,2000,35_39,90.829260
dza,2000,40_44,90.164860
dza,2000,45_49,60.960680
dza,2000,50_54,48.093880
dza,2000,55_59,30.835870
dza,2000,60_64,13.527040
dza,2000,65,4.590479
dza,2000,total_15,1202.794000
dza,2001,15_19,156.519100
dza,2001,20_24,265.648900
dza,2001,25_29,282.163500
dza,2001,30_34,180.787600
dza,2001,35_39,103.644700
dza,2001,40_44,98.549690
dza,2001,45_49,65.830640
dza,2001,50_54,51.479390
