country,year,age_group,fpr
alb,1993,30_34,64.57389
alb,1993,35_39,69.74639
alb,1993,40_44,72.75893
alb,1993,45_49,67.84546
alb,1993,50_54,57.5235
alb,1993,55_59,28.42591
alb,1993,60_64,21.90306
alb,1993,65,11.0107
alb,1993,total_15,53.14575
alb,1994,15_19,46.20255
alb,1994,20_24,57.70301
alb,1994,25_29,63.81443
alb,1994,30_34,64.87125
alb,1994,35_39,69.87915
alb,1994,40_44,72.5705
alb,1994,45_49,67.49235999999999
alb,1994,50_54,57.28764
alb,1994,55_59,27.900609999999997
alb,1994,60_64,21.74107
alb,1994,65,10.40761
alb,1994,total_15,52.827490000000004
alb,1995,15_19,45.490629999999996
alb,1995,20_24,56.64716
alb,1995,25_29,63.993219999999994
alb,1995,30_34,65.13171
alb,1995,35_39,69.94109
alb,1995,40_44,72.28313
alb,1995,45_49,67.0327
alb,1995,50_54,57.135940000000005
alb,1995,55_59,27.568409999999997
alb,1995,60_64,21.65084
alb,1995,65,9.620443
alb,1995,total_15,52.32135
alb,1996,15_19,44.6673
alb,1996,20_24,55.78181
alb,1996,25_29,64.05128
alb,1996,30_34,65.19402
alb,1996,35_39,69.89241
alb,1996,40_44,72.07233000000001
alb,1996,45_49,66.7494
alb,1996,50_54,57.16465
alb,1996,55_59,27.63444
alb,1996,60_64,21.68925
alb,1996,65,9.126561
alb,1996,total_15,52.0269
alb,1997,15_19,45.52892
alb,1997,20_24,56.69265
alb,1997,25_29,63.98831
alb,1997,30_34,65.12527
alb,1997,35_39,69.94156
alb,1997,40_44,72.29473
alb,1997,45_49,67.04956
alb,1997,50_54,57.137640000000005
alb,1997,55_59,27.572020000000002
alb,1997,60_64,21.65118
alb,1997,65,9.649528
alb,1997,total_15,52.27613
alb,1998,15_19,44.443709999999996
alb,1998,20_24,55.57105
alb,1998,25_29,64.05676
alb,1998,30_34,65.19444
alb,1998,35_39,69.87080999999999
alb,1998,40_44,72.02343
alb,1998,45_49,66.68964
alb,1998,50_54,57.18663000000001
alb,1998,55_59,27.68362
alb,1998,60_64,21.70962
alb,1998,65,9.020658000000001
alb,1998,total_15,51.81324
alb,1999,15_19,43.269259999999996
alb,1999,20_24,54.554159999999996
alb,1999,25_29,64.04648
alb,1999,30_34,65.13367
alb,1999,35_39,69.72499
alb,1999,40_44,71.79784000000001
alb,1999,45_49,66.44088
alb,1999,50_54,57.35625
alb,1999,55_59,28.0633
alb,1999,60_64,21.85502
alb,1999,65,8.569342
alb,1999,total_15,51.33506
alb,2000,15_19,42.24812
alb,2000,20_24,53.74697
alb,2000,25_29,64.00301999999999
alb,2000,30_34,65.0251
alb,2000,35_39,69.56908
alb,2000,40_44,71.62873
alb,2000,45_49,66.28158
alb,2000,50_54,57.551719999999996
alb,2000,55_59,28.50406
alb,2000,60_64,22.01621
