country,year,age_group,mlf0
arm,2012,25_29,122.221800
arm,2012,30_34,91.003280
arm,2012,35_39,69.458470
arm,2012,40_44,61.420860
arm,2012,45_49,79.280940
arm,2012,50_54,93.660460
arm,2012,55_59,75.064740
arm,2012,60_64,36.475620
arm,2012,65,44.468190
arm,2012,total_15,783.423500
arm,2013,15_19,41.137570
arm,2013,20_24,63.905270
arm,2013,25_29,126.065700
arm,2013,30_34,96.520160
arm,2013,35_39,71.764750
arm,2013,40_44,61.336990
arm,2013,45_49,72.727490
arm,2013,50_54,92.344210
arm,2013,55_59,79.146510
arm,2013,60_64,39.531980
arm,2013,65,44.227370
arm,2013,total_15,788.708000
arm,2014,15_19,38.677570
arm,2014,20_24,61.212850
arm,2014,25_29,128.454100
arm,2014,30_34,102.017500
arm,2014,35_39,74.806050
arm,2014,40_44,61.928570
arm,2014,45_49,66.923390
arm,2014,50_54,89.872720
arm,2014,55_59,82.434480
arm,2014,60_64,42.720190
arm,2014,65,44.209640
arm,2014,total_15,793.257000
arm,2015,15_19,37.220310
arm,2015,20_24,58.219930
arm,2015,25_29,129.047900
arm,2015,30_34,107.229900
arm,2015,35_39,78.686340
arm,2015,40_44,62.828240
arm,2015,45_49,62.596200
arm,2015,50_54,86.280380
arm,2015,55_59,84.620930
arm,2015,60_64,46.061650
arm,2015,65,44.428920
arm,2015,total_15,797.220600
arm,2016,15_19,36.506560
arm,2016,20_24,54.802200
arm,2016,25_29,128.078700
arm,2016,30_34,112.356000
arm,2016,35_39,83.466700
arm,2016,40_44,64.264790
arm,2016,45_49,59.731390
arm,2016,50_54,81.425160
arm,2016,55_59,85.370140
arm,2016,60_64,49.215720
arm,2016,65,45.244150
arm,2016,total_15,800.461400
arm,2017,15_19,36.824940
arm,2017,20_24,50.993640
arm,2017,25_29,125.366300
arm,2017,30_34,117.127700
arm,2017,35_39,88.828880
arm,2017,40_44,66.091480
arm,2017,45_49,58.443410
arm,2017,50_54,75.485270
arm,2017,55_59,85.205780
arm,2017,60_64,52.387860
arm,2017,65,46.239390
arm,2017,total_15,802.994700
arm,2018,15_19,37.886830
arm,2018,20_24,47.272280
arm,2018,25_29,121.156700
arm,2018,30_34,121.087500
arm,2018,35_39,94.532130
arm,2018,40_44,68.438640
arm,2018,45_49,58.412520
arm,2018,50_54,69.206140
arm,2018,55_59,84.101630
arm,2018,60_64,55.333130
arm,2018,65,47.429580
arm,2018,total_15,804.857100
arm,2019,15_19,39.167790
arm,2019,20_24,44.307530
arm,2019,25_29,115.846500
arm,2019,30_34,123.574000
arm,2019,35_39,100.219000
arm,2019,40_44,71.528690
arm,2019,45_49,59.047440
arm,2019,50_54,63.680570
arm,2019,55_59,81.967640
arm,2019,60_64,57.696180
arm,2019,65,48.849120
arm,2019,total_15,805.884500
arm,2020,15_19,40.307410
arm,2020,20_24,42.519740
arm,2020,25_29,109.823700
arm,2020,30_34,124.190100
arm,2020,35_39,105.593900
arm,2020,40_44,75.449130
arm,2020,45_49,59.990260
arm,2020,50_54,59.610580
arm,2020,55_59,78.789830
arm,2020,60_64,59.270210
arm,2020,65,50.504960
arm,2020,total_15,806.049800
aus,2010,15_19,425.453200
aus,2010,20_24,702.857100
aus,2010,25_29,749.937000
aus,2010,30_34,691.302900
aus,2010,35_39,743.771900
aus,2010,40_44,696.389100
aus,2010,45_49,706.378600
aus,2010,50_54,639.894800
aus,2010,55_59,523.139500
