country,year,age_group,mlf
dza,1986,30_34,683.795300
dza,1986,35_39,477.229000
dza,1986,40_44,353.513300
dza,1986,45_49,333.500100
dza,1986,50_54,311.353700
dza,1986,55_59,206.316000
dza,1986,60_64,112.562600
dza,1986,65,95.436910
dza,1987,15_19,479.456600
dza,1987,20_24,713.589800
dza,1987,25_29,812.644300
dza,1987,30_34,703.273100
dza,1987,35_39,521.420000
dza,1987,40_44,363.624500
dza,1987,45_49,330.295300
dza,1987,50_54,313.416900
dza,1987,55_59,219.020300
dza,1987,60_64,112.658200
dza,1987,65,91.163150
dza,1988,15_19,511.563400
dza,1988,20_24,762.263500
dza,1988,25_29,858.923300
dza,1988,30_34,719.141900
dza,1988,35_39,569.243200
dza,1988,40_44,378.379400
dza,1988,45_49,328.232500
dza,1988,50_54,313.180400
dza,1988,55_59,232.452400
dza,1988,60_64,113.325700
dza,1988,65,86.956700
dza,1989,15_19,545.861300
dza,1989,20_24,810.806800
dza,1989,25_29,904.130700
dza,1989,30_34,738.577300
dza,1989,35_39,612.895900
dza,1989,40_44,399.497100
dza,1989,45_49,328.486900
dza,1989,50_54,311.660600
dza,1989,55_59,244.008900
dza,1989,60_64,115.009800
dza,1989,65,82.824950
dza,1990,15_19,582.631200
dza,1990,20_24,859.733800
dza,1990,25_29,944.748000
dza,1990,30_34,765.966700
dza,1990,35_39,647.797400
dza,1990,40_44,427.757300
dza,1990,45_49,331.998000
dza,1990,50_54,309.675700
dza,1990,55_59,252.193900
dza,1990,60_64,117.839700
dza,1990,65,78.790000
dza,1990,total_15,5319.132000
dza,1991,15_19,622.658400
dza,1991,20_24,910.898300
dza,1991,25_29,984.136600
dza,1991,30_34,801.747500
dza,1991,35_39,676.008100
dza,1991,40_44,463.976900
dza,1991,45_49,338.950000
dza,1991,50_54,307.030600
dza,1991,55_59,256.934400
dza,1991,60_64,121.093900
dza,1991,65,75.469740
dza,1991,total_15,5558.905000
dza,1992,15_19,664.517700
dza,1992,20_24,961.213500
dza,1992,25_29,1019.340000
dza,1992,30_34,844.342100
dza,1992,35_39,694.764100
dza,1992,40_44,507.862800
dza,1992,45_49,348.585900
dza,1992,50_54,303.999700
dza,1992,55_59,258.836500
dza,1992,60_64,125.221800
dza,1992,65,72.051220
dza,1992,total_15,5800.735000
dza,1993,15_19,708.694800
dza,1993,20_24,1011.477000
dza,1993,25_29,1051.482000
dza,1993,30_34,890.855500
dza,1993,35_39,708.943200
dza,1993,40_44,554.752900
dza,1993,45_49,362.367600
dza,1993,50_54,301.740100
dza,1993,55_59,258.642900
dza,1993,60_64,129.204000
dza,1993,65,68.735050
dza,1993,total_15,6046.895000
dza,1994,15_19,756.094400
dza,1994,20_24,1063.341000
dza,1994,25_29,1082.939000
dza,1994,30_34,936.499900
dza,1994,35_39,726.689900
dza,1994,40_44,597.735500
dza,1994,45_49,382.474900
dza,1994,50_54,301.824100
dza,1994,55_59,257.530300
dza,1994,60_64,131.775800
dza,1994,65,65.747900
dza,1994,total_15,6302.652000
dza,1995,15_19,807.042700
dza,1995,20_24,1117.885000
dza,1995,25_29,1115.183000
dza,1995,30_34,978.141300
dza,1995,35_39,752.799000
dza,1995,40_44,632.716500
dza,1995,45_49,409.835300
dza,1995,50_54,305.301800
dza,1995,55_59,256.278200
dza,1995,60_64,132.339400
dza,1995,65,63.152060
dza,1995,total_15,6570.675000
dza,1996,15_19,858.956500
dza,1996,20_24,1172.317000
dza,1996,25_29,1145.847000
dza,1996,30_34,1014.575000
dza,1996,35_39,784.608600
dza,1996,40_44,659.161300
dza,1996,45_49,442.979900
dza,1996,50_54,310.662200
dza,1996,55_59,253.526400
dza,1996,60_64,130.335200
dza,1996,65,61.011480
dza,1996,total_15,6833.980000
dza,1997,15_19,876.801800
dza,1997,20_24,1183.299000
dza,1997,25_29,1172.402000
dza,1997,30_34,1045.353000
dza,1997,35_39,824.298800
dza,1997,40_44,676.743500
dza,1997,45_49,484.002600
dza,1997,50_54,319.279900
dza,1997,55_59,251.646300
dza,1997,60_64,128.496700
dza,1997,65,62.249650
dza,1997,total_15,7024.573000
dza,1998,15_19,894.019000
dza,1998,20_24,1193.702000
dza,1998,25_29,1199.965000
dza,1998,30_34,1073.843000
dza,1998,35_39,868.498800
dza,1998,40_44,690.658600
dza,1998,45_49,528.534200
dza,1998,50_54,332.173800
dza,1998,55_59,248.366900
dza,1998,60_64,125.867800
dza,1998,65,63.534900
dza,1998,total_15,7219.165000
dza,1999,15_19,906.399800
dza,1999,20_24,1202.811000
dza,1999,25_29,1228.518000
dza,1999,30_34,1100.630000
dza,1999,35_39,911.079500
dza,1999,40_44,707.673900
dza,1999,45_49,569.089200
dza,1999,50_54,350.879200
dza,1999,55_59,248.023700
dza,1999,60_64,122.804900
dza,1999,65,64.638550
dza,1999,total_15,7412.547000
dza,2000,15_19,911.596300
dza,2000,20_24,1210.061000
dza,2000,25_29,1258.199000
dza,2000,30_34,1126.214000
dza,2000,35_39,948.333200
dza,2000,40_44,731.901700
dza,2000,45_49,601.209400
dza,2000,50_54,376.039100
dza,2000,55_59,250.877700
dza,2000,60_64,119.577100
dza,2000,65,65.450580
dza,2000,total_15,7599.459000
dza,2001,15_19,912.064000
