country,year,age_group,flf0
ago,2016,20_24,652.846100
ago,2016,25_29,631.006700
ago,2016,30_34,536.976300
ago,2016,35_39,437.697200
ago,2016,40_44,343.425600
ago,2016,45_49,277.340300
ago,2016,50_54,218.242200
ago,2016,55_59,162.233800
ago,2016,60_64,106.957700
ago,2016,65,125.916500
ago,2016,total_15,3991.060000
ago,2017,15_19,517.317300
ago,2017,20_24,675.515300
ago,2017,25_29,650.965600
ago,2017,30_34,556.562400
ago,2017,35_39,454.256000
ago,2017,40_44,356.903500
ago,2017,45_49,285.006200
ago,2017,50_54,224.073300
ago,2017,55_59,167.580900
ago,2017,60_64,110.565000
ago,2017,65,130.898200
ago,2017,total_15,4129.644000
ago,2018,15_19,536.507900
ago,2018,20_24,699.940100
ago,2018,25_29,672.048100
ago,2018,30_34,577.119100
ago,2018,35_39,471.561100
ago,2018,40_44,371.628400
ago,2018,45_49,293.498600
ago,2018,50_54,230.178200
ago,2018,55_59,173.292800
ago,2018,60_64,114.281400
ago,2018,65,136.203200
ago,2018,total_15,4276.259000
ago,2019,15_19,553.741100
ago,2019,20_24,725.997600
ago,2019,25_29,694.607700
ago,2019,30_34,598.040300
ago,2019,35_39,489.517600
ago,2019,40_44,386.960400
ago,2019,45_49,303.024900
ago,2019,50_54,236.544500
ago,2019,55_59,179.063900
ago,2019,60_64,118.263700
ago,2019,65,141.681000
ago,2019,total_15,4427.443000
ago,2020,15_19,567.664200
ago,2020,20_24,753.519000
ago,2020,25_29,718.892300
ago,2020,30_34,619.040600
ago,2020,35_39,508.103300
ago,2020,40_44,402.536400
ago,2020,45_49,313.712900
ago,2020,50_54,243.207900
ago,2020,55_59,184.729800
ago,2020,60_64,122.583500
ago,2020,65,147.272300
ago,2020,total_15,4581.262000
arg,2010,15_19,252.470200
arg,2010,20_24,795.236900
arg,2010,25_29,1018.265000
arg,2010,30_34,1097.163000
arg,2010,35_39,912.227300
arg,2010,40_44,799.775000
arg,2010,45_49,751.109400
arg,2010,50_54,671.616300
arg,2010,55_59,552.815500
arg,2010,60_64,303.556600
arg,2010,65,235.061200
arg,2010,total_15,7389.297000
arg,2011,15_19,252.250500
arg,2011,20_24,800.090100
arg,2011,25_29,1017.420000
arg,2011,30_34,1104.426000
arg,2011,35_39,945.960100
arg,2011,40_44,813.018200
arg,2011,45_49,754.896500
arg,2011,50_54,675.982700
arg,2011,55_59,560.040800
arg,2011,60_64,310.207900
arg,2011,65,239.108700
arg,2011,total_15,7473.402000
arg,2012,15_19,251.717300
arg,2012,20_24,804.850000
arg,2012,25_29,1022.497000
arg,2012,30_34,1098.879000
arg,2012,35_39,986.031300
arg,2012,40_44,828.944100
arg,2012,45_49,759.192100
arg,2012,50_54,680.737900
arg,2012,55_59,566.528300
arg,2012,60_64,317.261700
arg,2012,65,243.558700
